Symbol,Nifty Index
ADANIENT,NIFTY AUTO
ASHOKLEY,NIFTY AUTO
BAJAJ-AUTO,NIFTY AUTO
BOSCHLTD,NIFTY AUTO
CUMMINSIND,NIFTY AUTO
EICHERMOT,NIFTY AUTO
EXIDEIND,NIFTY AUTO
HEROMOTOCO,NIFTY AUTO
M&M,NIFTY AUTO
MARUTI,NIFTY AUTO
TATAMOTORS,NIFTY AUTO
TVSMOTOR,NIFTY AUTO
AUBANK,NIFTY BANK
AXISBANK,NIFTY BANK
BANDHANBNK,NIFTY BANK
BANKBARODA,NIFTY BANK
CANBK,NIFTY BANK
HDFCBANK,NIFTY BANK
ICICIBANK,NIFTY BANK
IDFCFIRSTB,NIFTY BANK
INDIANB,NIFTY BANK
KOTAKBANK,NIFTY BANK
SBIN,NIFTY BANK
UNIONBANK,NIFTY BANK
YESBANK,NIFTY BANK
BHARTIARTL,NIFTY COMMUNICATION
NYKAA,NIFTY CONSUMER DURABLES
ADANIENSOL,NIFTY ENERGY
ADANIGREEN,NIFTY ENERGY
BHEL,NIFTY ENERGY
BPCL,NIFTY ENERGY
COALINDIA,NIFTY ENERGY
GAIL,NIFTY ENERGY
HINDPETRO,NIFTY ENERGY
IOC,NIFTY ENERGY
JSWENERGY,NIFTY ENERGY
NHPC,NIFTY ENERGY
NTPC,NIFTY ENERGY
ONGC,NIFTY ENERGY
POWERGRID,NIFTY ENERGY
RELIANCE,NIFTY ENERGY
TATAPOWER,NIFTY ENERGY
TORNTPOWER,NIFTY ENERGY
360ONE,NIFTY FINANCIAL SERVICES
ABCAPITAL,NIFTY FINANCIAL SERVICES
ANGELONE,NIFTY FINANCIAL SERVICES
BAJAJFINSV,NIFTY FINANCIAL SERVICES
BAJFINANCE,NIFTY FINANCIAL SERVICES
CHOLAFIN,NIFTY FINANCIAL SERVICES
HDFCLIFE,NIFTY FINANCIAL SERVICES
ICICIGI,NIFTY FINANCIAL SERVICES
ICICIPRULI,NIFTY FINANCIAL SERVICES
IIFL,NIFTY FINANCIAL SERVICES
JIOFIN,NIFTY FINANCIAL SERVICES
SBILIFE,NIFTY FINANCIAL SERVICES
SRTRANSFIN,NIFTY FINANCIAL SERVICES
ASIANPAINT,NIFTY FMCG
BRITANNIA,NIFTY FMCG
COLPAL,NIFTY FMCG
DABUR,NIFTY FMCG
DMART,NIFTY FMCG
GODREJCP,NIFTY FMCG
HINDUNILVR,NIFTY FMCG
ITC,NIFTY FMCG
JUBLFOOD,NIFTY FMCG
MARICO,NIFTY FMCG
NESTLEIND,NIFTY FMCG
PAGEIND,NIFTY FMCG
PIDILITE,NIFTY FMCG
TATACHEM,NIFTY FMCG
TITAN,NIFTY FMCG
TRENT,NIFTY FMCG
UPL,NIFTY FMCG
APOLLOHOSP,NIFTY HEALTHCARE
FORTIS,NIFTY HEALTHCARE
MAXHEALTH,NIFTY HEALTHCARE
BEL,NIFTY IND DEFENCE
HAL,NIFTY IND DEFENCE
ABB,NIFTY INDIA MFG
BHARATFORG,NIFTY INDIA MFG
BLUESTARCO,NIFTY INDIA MFG
CROMPTON,NIFTY INDIA MFG
DIXON,NIFTY INDIA MFG
GRASIM,NIFTY INDIA MFG
HAVELLS,NIFTY INDIA MFG
KEI,NIFTY INDIA MFG
POLYCAB,NIFTY INDIA MFG
SIEMENS,NIFTY INDIA MFG
VOLTAS,NIFTY INDIA MFG
ADANIPORTS,NIFTY INFRA
AMBUJACEM,NIFTY INFRA
ASTRAL,NIFTY INFRA
CONCOR,NIFTY INFRA
DALBHARAT,NIFTY INFRA
GMRAIRPORT,NIFTY INFRA
LT,NIFTY INFRA
PFC,NIFTY INFRA
RECLTD,NIFTY INFRA
SHREECEM,NIFTY INFRA
ULTRACEMCO,NIFTY INFRA
COFORGE,NIFTY IT
CYIENT,NIFTY IT
HCLTECH,NIFTY IT
KPITTECH,NIFTY IT
OFSS,NIFTY IT
PERSISTENT,NIFTY IT
TATAELXSI,NIFTY IT
TCS,NIFTY IT
TECHM,NIFTY IT
WIPRO,NIFTY IT
APLAPOLLO,NIFTY METAL
HINDALCO,NIFTY METAL
HINDZINC,NIFTY METAL
JINDALSTEL,NIFTY METAL
JSWSTEEL,NIFTY METAL
NMDC,NIFTY METAL
TATASTEEL,NIFTY METAL
VEDL,NIFTY METAL
AMBER,NIFTY MID SELECT
ALKEM,NIFTY PHARMA
AUROPHARMA,NIFTY PHARMA
BIOCON,NIFTY PHARMA
CIPLA,NIFTY PHARMA
DIVISLAB,NIFTY PHARMA
DRREDDY,NIFTY PHARMA
GLENMARK,NIFTY PHARMA
LUPIN,NIFTY PHARMA
SUNPHARMA,NIFTY PHARMA
ZYDUSLIFE,NIFTY PHARMA
GODREJPROP,NIFTY REALTY
OBEROIRLTY,NIFTY REALTY
DELHIVERY,NIFTY SERVICES SECTOR
IRCTC,NIFTY SERVICES SECTOR
