date,time,stock,alert_type,score,alert_price,followed_up
06-01-2026,09:17:37,UNIONBANK,BULLISH,0,165.17,FALSE
06-01-2026,09:17:38,AXISBANK,BULLISH,0,1302.6,FALSE
06-01-2026,09:17:53,UNIONBANK,BULLISH,0,165.5,FALSE
06-01-2026,09:17:53,KOTAKBANK,BULLISH,0,2236,FALSE
06-01-2026,09:17:55,NATIONALUM,BULLISH,0,338.2,FALSE
06-01-2026,09:18:29,YESBANK,BULLISH,0,23.2,FALSE
06-01-2026,09:18:30,LTF,BULLISH,0,329.25,FALSE
06-01-2026,09:18:31,ABCAPITAL,BULLISH,0,370.3,FALSE
06-01-2026,09:18:32,IDFCFIRSTB,BULLISH,0,86.35,FALSE
06-01-2026,09:20:22,YESBANK,BULLISH,0,23.21,FALSE
06-01-2026,09:20:23,LTF,BULLISH,0,328.55,FALSE
06-01-2026,09:20:23,ABCAPITAL,BULLISH,0,369.95,FALSE
06-01-2026,09:20:24,IDFCFIRSTB,BULLISH,0,86.25,FALSE
06-01-2026,09:22:38,HINDZINC,BULLISH,0,642.7,FALSE
06-01-2026,09:22:42,HINDZINC,BULLISH,0,642.6,FALSE
06-01-2026,09:24:44,ICICIBANK,BULLISH,0,1394.2,FALSE
06-01-2026,09:24:52,ICICIBANK,BULLISH,0,1394.9,FALSE
06-01-2026,09:28:44,HINDALCO,BULLISH,0,957,FALSE
06-01-2026,09:28:48,HINDALCO,BULLISH,0,957.05,FALSE
06-01-2026,09:52:56,AXISBANK,BULLISH,0,1303.5,FALSE
06-01-2026,09:58:13,IDEA,BULLISH,0,11.6,FALSE
06-01-2026,10:00:09,RECLTD,BULLISH,0,387.75,FALSE
06-01-2026,10:02:17,RECLTD,BULLISH,0,387.7,FALSE
06-01-2026,10:06:15,IDEA,BULLISH,0,11.64,FALSE
06-01-2026,10:06:15,ONGC,BULLISH,0,241.77,FALSE
06-01-2026,10:06:24,ONGC,BULLISH,0,241.71,FALSE
06-01-2026,10:18:27,UNIONBANK,BULLISH,0,167.2,FALSE
06-01-2026,10:18:43,YESBANK,BULLISH,0,23.28,FALSE
06-01-2026,10:18:44,UNIONBANK,BULLISH,0,167.27,FALSE
06-01-2026,10:21:20,YESBANK,BULLISH,0,23.2,FALSE
06-01-2026,10:22:52,HINDZINC,BULLISH,0,646.6,FALSE
06-01-2026,10:23:05,HINDZINC,BULLISH,0,647.4,FALSE
06-01-2026,10:26:17,ICICIBANK,BULLISH,0,1412.5,FALSE
06-01-2026,10:26:30,ICICIBANK,BULLISH,0,1412.3,FALSE
06-01-2026,10:47:08,HINDALCO,BULLISH,0,972.6,FALSE
06-01-2026,10:48:59,HINDALCO,BULLISH,0,968.3,FALSE
06-01-2026,10:59:53,IDEA,BULLISH,0,11.66,FALSE
06-01-2026,11:06:49,IDEA,BULLISH,0,11.66,FALSE
06-01-2026,11:18:50,UNIONBANK,BULLISH,0,166.99,FALSE
06-01-2026,11:20:42,UNIONBANK,BULLISH,0,166.53,FALSE
06-01-2026,11:24:43,HINDZINC,BULLISH,0,646.1,FALSE
06-01-2026,11:24:48,HINDZINC,BULLISH,0,646.35,FALSE
06-01-2026,11:26:44,ICICIBANK,BULLISH,0,1411.6,FALSE
06-01-2026,11:27:18,ICICIBANK,BULLISH,0,1410.8,FALSE
06-01-2026,11:41:48,ONGC,BULLISH,0,241.27,FALSE
06-01-2026,11:41:55,ONGC,BULLISH,0,241.27,FALSE
06-01-2026,11:48:01,HINDALCO,BULLISH,0,961.5,FALSE
06-01-2026,11:50:02,HINDALCO,BULLISH,0,959.5,FALSE
06-01-2026,11:51:48,SBIN,BULLISH,0,1024.95,FALSE
06-01-2026,11:51:56,SBIN,BULLISH,0,1024.9,FALSE
06-01-2026,12:02:00,IDEA,BULLISH,0,11.64,FALSE
06-01-2026,12:07:16,IDEA,BULLISH,0,11.66,FALSE
06-01-2026,12:19:50,UNIONBANK,BULLISH,0,166.98,FALSE
06-01-2026,12:21:54,UNIONBANK,BULLISH,0,166.9,FALSE
06-01-2026,13:52:52,IDEA,BULLISH,0,11.6,FALSE
06-01-2026,13:52:53,NATIONALUM,BULLISH,0,347.25,FALSE
06-01-2026,13:52:57,HINDALCO,BULLISH,0,949.8,FALSE
06-01-2026,13:52:58,UNIONBANK,BULLISH,0,166.83,FALSE
06-01-2026,13:52:58,SBIN,BULLISH,0,1023.3,FALSE
06-01-2026,13:52:59,ICICIBANK,BULLISH,0,1412.3,FALSE
06-01-2026,13:53:00,ONGC,BULLISH,0,241.71,FALSE
06-01-2026,13:57:30,HINDZINC,BULLISH,0,645.75,FALSE
