instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
282664965,1104160,BANKEX25DECFUT,"BANKEX",0,2025-12-24,0,0.05,30,FUT,BFO-FUT,BFO
293244165,1145485,BANKEX26JANFUT,"BANKEX",0,2026-01-29,0,0.05,30,FUT,BFO-FUT,BFO
298595077,1166387,BANKEX26FEBFUT,"BANKEX",0,2026-02-26,0,0.05,30,FUT,BFO-FUT,BFO
282186245,1102290,SENSEX25DECFUT,"SENSEX",0,2025-12-24,0,0.05,20,FUT,BFO-FUT,BFO
292786437,1143697,SENSEX26JANFUT,"SENSEX",0,2026-01-29,0,0.05,20,FUT,BFO-FUT,BFO
298364421,1165486,SENSEX26FEBFUT,"SENSEX",0,2026-02-26,0,0.05,20,FUT,BFO-FUT,BFO
284815877,1112562,SENSEX5025DECFUT,"SENSEX50",0,2025-12-24,0,0.05,75,FUT,BFO-FUT,BFO
291110661,1137151,SENSEX5026JANFUT,"SENSEX50",0,2026-01-29,0,0.05,75,FUT,BFO-FUT,BFO
297558533,1162338,SENSEX5026FEBFUT,"SENSEX50",0,2026-02-26,0,0.05,75,FUT,BFO-FUT,BFO
282749189,1104489,BANKEX25DEC66700CE,"BANKEX",0,2025-12-24,66700,0.05,30,CE,BFO-OPT,BFO
283468037,1107297,BANKEX25DEC66700PE,"BANKEX",0,2025-12-24,66700,0.05,30,PE,BFO-OPT,BFO
282348293,1102923,BANKEX25DEC66600PE,"BANKEX",0,2025-12-24,66600,0.05,30,PE,BFO-OPT,BFO
285546757,1115417,BANKEX25DEC66600CE,"BANKEX",0,2025-12-24,66600,0.05,30,CE,BFO-OPT,BFO
282582789,1103839,BANKEX25DEC66800PE,"BANKEX",0,2025-12-24,66800,0.05,30,PE,BFO-OPT,BFO
285703941,1116031,BANKEX25DEC66800CE,"BANKEX",0,2025-12-24,66800,0.05,30,CE,BFO-OPT,BFO
282457349,1103349,BANKEX25DEC66500CE,"BANKEX",0,2025-12-24,66500,0.05,30,CE,BFO-OPT,BFO
283213061,1106301,BANKEX25DEC66500PE,"BANKEX",0,2025-12-24,66500,0.05,30,PE,BFO-OPT,BFO
282951173,1105278,BANKEX25DEC66900CE,"BANKEX",0,2025-12-24,66900,0.05,30,CE,BFO-OPT,BFO
285621509,1115709,BANKEX25DEC66900PE,"BANKEX",0,2025-12-24,66900,0.05,30,PE,BFO-OPT,BFO
282149381,1102146,BANKEX25DEC66400PE,"BANKEX",0,2025-12-24,66400,0.05,30,PE,BFO-OPT,BFO
283348229,1106829,BANKEX25DEC66400CE,"BANKEX",0,2025-12-24,66400,0.05,30,CE,BFO-OPT,BFO
282214917,1102402,BANKEX25DEC67000PE,"BANKEX",0,2025-12-24,67000,0.05,30,PE,BFO-OPT,BFO
285445637,1115022,BANKEX25DEC67000CE,"BANKEX",0,2025-12-24,67000,0.05,30,CE,BFO-OPT,BFO
282260229,1102579,BANKEX25DEC66300CE,"BANKEX",0,2025-12-24,66300,0.05,30,CE,BFO-OPT,BFO
283011333,1105513,BANKEX25DEC66300PE,"BANKEX",0,2025-12-24,66300,0.05,30,PE,BFO-OPT,BFO
284675589,1112014,BANKEX25DEC67100CE,"BANKEX",0,2025-12-24,67100,0.05,30,CE,BFO-OPT,BFO
285359365,1114685,BANKEX25DEC67100PE,"BANKEX",0,2025-12-24,67100,0.05,30,PE,BFO-OPT,BFO
283112965,1105910,BANKEX25DEC66200CE,"BANKEX",0,2025-12-24,66200,0.05,30,CE,BFO-OPT,BFO
284503045,1111340,BANKEX25DEC66200PE,"BANKEX",0,2025-12-24,66200,0.05,30,PE,BFO-OPT,BFO
284596485,1111705,BANKEX25DEC67200PE,"BANKEX",0,2025-12-24,67200,0.05,30,PE,BFO-OPT,BFO
285600517,1115627,BANKEX25DEC67200CE,"BANKEX",0,2025-12-24,67200,0.05,30,CE,BFO-OPT,BFO
