instrument_token,exchange_token,tradingsymbol,name,instrument_type,segment,exchange
220537093,861473,BANKEX25OCTFUT,BANKEX,FUT,BFO-FUT,BFO
223969541,874881,BANKEX25NOVFUT,BANKEX,FUT,BFO-FUT,BFO
282664965,1104160,BANKEX25DECFUT,BANKEX,FUT,BFO-FUT,BFO
220514309,861384,SENSEX25OCTFUT,SENSEX,FUT,BFO-FUT,BFO
223700485,873830,SENSEX25NOVFUT,SENSEX,FUT,BFO-FUT,BFO
282186245,1102290,SENSEX25DECFUT,SENSEX,FUT,BFO-FUT,BFO
220618501,861791,SENSEX5025OCTFUT,SENSEX50,FUT,BFO-FUT,BFO
223879685,874530,SENSEX5025NOVFUT,SENSEX50,FUT,BFO-FUT,BFO
284815877,1112562,SENSEX5025DECFUT,SENSEX50,FUT,BFO-FUT,BFO
220535813,861468,BANKEX25OCT61400CE,BANKEX,CE,BFO-OPT,BFO
220572421,861611,BANKEX25OCT61400PE,BANKEX,PE,BFO-OPT,BFO
220519429,861404,BANKEX25OCT61300PE,BANKEX,PE,BFO-OPT,BFO
220577541,861631,BANKEX25OCT61300CE,BANKEX,CE,BFO-OPT,BFO
220490501,861291,BANKEX25OCT61500CE,BANKEX,CE,BFO-OPT,BFO
220530693,861448,BANKEX25OCT61500PE,BANKEX,PE,BFO-OPT,BFO
220525317,861427,BANKEX25OCT61200CE,BANKEX,CE,BFO-OPT,BFO
220562181,861571,BANKEX25OCT61200PE,BANKEX,PE,BFO-OPT,BFO
220546053,861508,BANKEX25OCT61600CE,BANKEX,CE,BFO-OPT,BFO
220582661,861651,BANKEX25OCT61600PE,BANKEX,PE,BFO-OPT,BFO
220567557,861592,BANKEX25OCT61100CE,BANKEX,CE,BFO-OPT,BFO
220604421,861736,BANKEX25OCT61100PE,BANKEX,PE,BFO-OPT,BFO
220502533,861338,BANKEX25OCT61700CE,BANKEX,CE,BFO-OPT,BFO
220541189,861489,BANKEX25OCT61700PE,BANKEX,PE,BFO-OPT,BFO
220512261,861376,BANKEX25OCT61000CE,BANKEX,CE,BFO-OPT,BFO
220550149,861524,BANKEX25OCT61000PE,BANKEX,PE,BFO-OPT,BFO
220558853,861558,BANKEX25OCT61800CE,BANKEX,CE,BFO-OPT,BFO
220594693,861698,BANKEX25OCT61800PE,BANKEX,PE,BFO-OPT,BFO
220586245,861665,BANKEX25OCT60900CE,BANKEX,CE,BFO-OPT,BFO
220624133,861813,BANKEX25OCT60900PE,BANKEX,PE,BFO-OPT,BFO
220514053,861383,BANKEX25OCT61900CE,BANKEX,CE,BFO-OPT,BFO
220552709,861534,BANKEX25OCT61900PE,BANKEX,PE,BFO-OPT,BFO
220488453,861283,BANKEX25OCT60800PE,BANKEX,PE,BFO-OPT,BFO
220629253,861833,BANKEX25OCT60800CE,BANKEX,CE,BFO-OPT,BFO
220474373,861228,BANKEX25OCT62000PE,BANKEX,PE,BFO-OPT,BFO
220615941,861781,BANKEX25OCT62000CE,BANKEX,CE,BFO-OPT,BFO
220574981,861621,BANKEX25OCT60700CE,BANKEX,CE,BFO-OPT,BFO
220612357,861767,BANKEX25OCT60700PE,BANKEX,PE,BFO-OPT,BFO
220493573,861303,BANKEX25OCT62100CE,BANKEX,CE,BFO-OPT,BFO
220610053,861758,BANKEX25OCT62100PE,BANKEX,PE,BFO-OPT,BFO
220627973,861828,BANKEX25OCT62200CE,BANKEX,CE,BFO-OPT,BFO
227505669,888694,BANKEX25OCT70200PE,BANKEX,PE,BFO-OPT,BFO
227589637,889022,BANKEX25OCT70200CE,BANKEX,CE,BFO-OPT,BFO
227514373,888728,BANKEX25OCT70100CE,BANKEX,CE,BFO-OPT,BFO
