timestamp,date,time,stock,price,change_pct,ce_flow,pe_flow,net_flow,sector,rank,in_top_10,alerted,alert_type,ce_pe_ratio
2026-01-12 09:15:49,2026-01-12,09:15:49,CUMMINSIND,4040.00,-2.17,0.0,0.0,0.0,NIFTY INFRASTRUCTURE,44,False,False,,0.00
2026-01-12 09:15:49,2026-01-12,09:15:49,HINDZINC,625.00,2.60,0.0,0.0,0.0,NIFTY METAL,74,False,False,,0.00
2026-01-12 09:15:49,2026-01-12,09:15:49,IREDA,140.00,3.44,0.0,0.0,0.0,NIFTY ENERGY,92,False,False,,0.00
2026-01-12 09:15:49,2026-01-12,09:15:49,MANAPPURAM,294.00,2.21,0.0,0.0,0.0,N/A,113,False,False,,0.00
2026-01-12 09:16:36,2026-01-12,09:16:36,BHEL,267.85,-2.74,2926875.0,1777125.0,1149750.0,NIFTY ENERGY,6,True,False,,1.65
2026-01-12 09:16:36,2026-01-12,09:16:36,DMART,3890.00,2.15,799650.0,208200.0,591450.0,NIFTY INDIA CONSUMPTION,13,False,True,BULLISH,3.84
2026-01-12 09:16:36,2026-01-12,09:16:36,HINDZINC,622.50,2.19,2081275.0,614950.0,1466325.0,NIFTY METAL,4,True,True,BULLISH,3.38
2026-01-12 09:16:36,2026-01-12,09:16:36,IREDA,138.98,2.69,7821150.0,1773300.0,6047850.0,NIFTY ENERGY,2,True,True,BULLISH,4.41
2026-01-12 09:16:36,2026-01-12,09:16:36,MANAPPURAM,296.00,2.90,1671000.0,1275000.0,396000.0,N/A,16,False,True,BULLISH,1.31
2026-01-12 09:16:36,2026-01-12,09:16:36,SBICARD,840.00,-2.70,128000.0,66400.0,61600.0,NIFTY FINANCIAL SERVICES,50,False,False,,1.93
2026-01-12 09:16:36,2026-01-12,09:16:36,VEDL,624.15,2.05,1427150.0,523250.0,903900.0,NIFTY METAL,8,True,True,BULLISH,2.73
2026-01-12 09:17:37,2026-01-12,09:17:37,BHEL,266.50,-3.23,4809000.0,2821875.0,1987125.0,NIFTY ENERGY,6,True,False,,1.70
2026-01-12 09:17:37,2026-01-12,09:17:37,IREDA,139.30,2.93,9766950.0,1973400.0,7793550.0,NIFTY ENERGY,2,True,True,BULLISH,4.95
2026-01-12 09:17:37,2026-01-12,09:17:37,MANAPPURAM,295.55,2.75,2937000.0,2463000.0,474000.0,N/A,19,False,True,BULLISH,1.19
2026-01-12 09:17:37,2026-01-12,09:17:37,SBICARD,845.05,-2.11,306400.0,244000.0,62400.0,NIFTY FINANCIAL SERVICES,72,False,False,,1.26
2026-01-12 09:19:24,2026-01-12,09:19:24,BHEL,263.90,-4.18,11408250.0,7245000.0,4163250.0,NIFTY ENERGY,4,True,False,,1.57
2026-01-12 09:19:24,2026-01-12,09:19:24,DMART,3896.50,2.32,2710200.0,820800.0,1889400.0,NIFTY INDIA CONSUMPTION,12,False,True,BULLISH,3.30
2026-01-12 09:19:24,2026-01-12,09:19:24,HINDZINC,621.75,2.07,6011075.0,1945300.0,4065775.0,NIFTY METAL,5,True,True,BULLISH,3.09
2026-01-12 09:19:24,2026-01-12,09:19:24,IREDA,139.50,3.07,22169700.0,4826550.0,17343150.0,NIFTY ENERGY,2,True,True,BULLISH,4.59
2026-01-12 09:19:24,2026-01-12,09:19:24,MANAPPURAM,295.95,2.89,7515000.0,5007000.0,2508000.0,N/A,8,True,True,BULLISH,1.50
2026-01-12 09:19:24,2026-01-12,09:19:24,MUTHOOTFIN,3917.40,2.35,429825.0,141075.0,288750.0,NIFTY FINANCIAL SERVICES,45,False,True,BULLISH,3.05
2026-01-12 09:19:24,2026-01-12,09:19:24,POWERINDIA,17521.00,-2.23,3450.0,2600.0,850.0,NIFTY ENERGY,182,False,False,,1.33
2026-01-12 09:20:39,2026-01-12,09:20:39,BHEL,261.75,-4.96,16338000.0,12880875.0,3457125.0,NIFTY ENERGY,5,True,False,,1.27
2026-01-12 09:20:39,2026-01-12,09:20:39,BSE,2737.30,2.20,1304250.0,509625.0,794625.0,NIFTY FINANCIAL SERVICES,20,False,True,BULLISH,2.56
2026-01-12 09:20:39,2026-01-12,09:20:39,DMART,3900.00,2.42,3343650.0,1035900.0,2307750.0,NIFTY INDIA CONSUMPTION,9,True,True,BULLISH,3.23
2026-01-12 09:20:39,2026-01-12,09:20:39,HDFCLIFE,766.15,2.06,814000.0,253000.0,561000.0,NIFTY FINANCIAL SERVICES,22,False,True,BULLISH,3.22
2026-01-12 09:20:39,2026-01-12,09:20:39,HINDZINC,621.65,2.05,4027800.0,318500.0,3709300.0,NIFTY METAL,4,True,True,BULLISH,12.65
2026-01-12 09:20:39,2026-01-12,09:20:39,IREDA,139.53,3.10,19627050.0,4712700.0,14914350.0,NIFTY ENERGY,2,True,True,BULLISH,4.16
2026-01-12 09:20:39,2026-01-12,09:20:39,MANAPPURAM,294.00,2.21,0.0,0.0,0.0,N/A,165,False,False,,0.00
2026-01-12 09:20:39,2026-01-12,09:20:39,MUTHOOTFIN,3911.60,2.20,7975.0,0.0,7975.0,NIFTY FINANCIAL SERVICES,124,False,True,BULLISH,999.00
2026-01-12 09:20:39,2026-01-12,09:20:39,POWERINDIA,17450.00,-2.63,8250.0,10950.0,-2700.0,NIFTY ENERGY,138,False,True,BEARISH,0.75
